date,growth
2014-04-16,108
2014-04-17,72
2014-04-18,106
2014-04-19,52
2014-04-20,48
2014-04-21,75
2014-04-22,103
2014-04-23,115
2014-04-24,87
2014-04-25,138
2014-04-26,74
2014-04-27,102
2014-04-28,111
2014-04-29,120
2014-04-30,144
2014-05-01,101
2014-05-02,74
2014-05-03,86
2014-05-04,89
2014-05-05,82
2014-05-06,90
2014-05-07,91
2014-05-08,120
2014-05-09,82
2014-05-10,128
2014-05-11,20
2014-05-12,65
2014-05-13,106
2014-05-14,79
2014-05-15,89
2014-05-16,112
2014-05-17,96
2014-05-18,90
2014-05-19,52
2014-05-20,109
2014-05-21,89
2014-05-22,98
2014-05-23,97
2014-05-24,54
2014-05-25,97
2014-05-26,58
2014-05-27,94
2014-05-28,91
2014-05-29,95
2014-05-30,73
2014-05-31,64
2014-06-01,101
2014-06-02,72
2014-06-03,117
2014-06-04,110
2014-06-05,83
2014-06-06,51
2014-06-07,67
2014-06-08,76
2014-06-09,60
2014-06-10,67
2014-06-11,91
2014-06-12,122
2014-06-13,60
2014-06-14,41
2014-06-15,69
2014-06-16,86
2014-06-17,81
2014-06-18,94
2014-06-19,51
2014-06-20,67
2014-06-21,59
2014-06-22,59
2014-06-23,61
2014-06-24,73
2014-06-25,25
2014-06-26,88
2014-06-27,59
2014-06-28,62
2014-06-29,65
2014-06-30,84
2014-07-01,151
2014-07-02,120
2014-07-03,49
2014-07-04,91
2014-07-05,49
2014-07-06,91
2014-07-07,572
2014-07-08,2492
2014-07-09,1279
2014-07-10,102
2014-07-11,106
2014-07-12,80
2014-07-13,94
2014-07-14,92
2014-07-15,83
2014-07-16,113
2014-07-17,84
2014-07-18,85
2014-07-19,91
2014-07-20,107
2014-07-21,86
2014-07-22,89
2014-07-23,59
2014-07-24,105
2014-07-25,59
2014-07-26,70
2014-07-27,61
2014-07-28,76
2014-07-29,103
2014-07-30,128
2014-07-31,100
2014-08-01,91
2014-08-02,73
2014-08-03,81
2014-08-04,47
2014-08-05,133
2014-08-06,91
2014-08-07,118
2014-08-08,64
2014-08-09,86
2014-08-10,59
2014-08-11,80
2014-08-12,94
2014-08-13,131
2014-08-14,112
2014-08-15,130
2014-08-16,66
2014-08-17,99
2014-08-18,114
2014-08-19,94
2014-08-20,107
2014-08-21,84
2014-08-22,78
2014-08-23,80
2014-08-24,95
2014-08-25,97
2014-08-26,85
2014-08-27,89
2014-08-28,85
2014-08-29,122
2014-08-30,50
2014-08-31,81
2014-09-01,135
2014-09-02,130
2014-09-03,94
2014-09-04,105
2014-09-05,85
2014-09-06,90
2014-09-07,64
2014-09-08,102
2014-09-09,147
2014-09-10,116
2014-09-11,106
2014-09-12,97
2014-09-13,212
2014-09-14,113
2014-09-15,68
2014-09-16,95
2014-09-17,89
2014-09-18,82
2014-09-19,122
2014-09-20,52
2014-09-21,85
2014-09-22,98
2014-09-23,145
2014-09-24,114
2014-09-25,85
2014-09-26,82
2014-09-27,96
2014-09-28,124
2014-09-29,122
2014-09-30,143
2014-10-01,145
2014-10-02,130
2014-10-03,81
2014-10-04,95
2014-10-05,157
2014-10-06,160
2014-10-07,130
2014-10-08,156
2014-10-09,122
2014-10-10,69
2014-10-11,102
2014-10-12,96
2014-10-13,110
2014-10-14,121
2014-10-15,138
2014-10-16,134
2014-10-17,110
2014-10-18,67
2014-10-19,94
2014-10-20,93
2014-10-21,104
2014-10-22,87
2014-10-23,86
2014-10-24,76
2014-10-25,70
2014-10-26,87
2014-10-27,53
2014-10-28,88
2014-10-29,93
2014-10-30,54
2014-10-31,72
2014-11-01,86
2014-11-02,181
2014-11-03,131
2014-11-04,78
2014-11-05,381
2014-11-06,279
2014-11-07,155
2014-11-08,98
2014-11-09,129
2014-11-10,146
2014-11-11,119
2014-11-12,158
2014-11-13,165
2014-11-14,104
2014-11-15,79
2014-11-16,83
2014-11-17,117
2014-11-18,109
2014-11-19,88
2014-11-20,84
2014-11-21,63
2014-11-22,88
2014-11-23,79
2014-11-24,64
2014-11-25,103
2014-11-26,96
2014-11-27,94
2014-11-28,59
2014-11-29,55
2014-11-30,109
2014-12-01,91
2014-12-02,138
2014-12-03,92
2014-12-04,109
2014-12-05,67
2014-12-06,49
2014-12-07,60
2014-12-08,110
2014-12-09,104
2014-12-10,112
2014-12-11,274
2014-12-12,133
2014-12-13,103
2014-12-14,126
2014-12-15,125
2014-12-16,156
2014-12-17,120
2014-12-18,98
2014-12-19,67
2014-12-20,54
2014-12-21,66
2014-12-22,108
2014-12-23,109
2014-12-24,103
2014-12-25,64
2014-12-26,101
2014-12-27,87
2014-12-28,108
2014-12-29,116
2014-12-30,80
2014-12-31,67
2015-01-01,98
2015-01-02,112
2015-01-03,147
2015-01-04,145
2015-01-05,159
2015-01-06,126
2015-01-07,111
2015-01-08,107
2015-01-09,95
2015-01-10,99
2015-01-11,100
2015-01-12,109
2015-01-13,149
2015-01-14,287
2015-01-15,217
2015-01-16,114
2015-01-17,83
2015-01-18,131
2015-01-19,119
2015-01-20,91
2015-01-21,100
2015-01-22,100
2015-01-23,98
2015-01-24,149
2015-01-25,221
2015-01-26,276
2015-01-27,145
2015-01-28,133
2015-01-29,119
2015-01-30,87
2015-01-31,67
2015-02-01,80
2015-02-02,97
2015-02-03,116
2015-02-04,133
2015-02-05,101
2015-02-06,94
2015-02-07,106
2015-02-08,55
2015-02-09,69
2015-02-10,110
2015-02-11,125
2015-02-12,205
2015-02-13,145
2015-02-14,150
2015-02-15,186
2015-02-16,166
2015-02-17,181
2015-02-18,142
2015-02-19,255
2015-02-20,210
2015-02-21,106
2015-02-22,72
2015-02-23,120
2015-02-24,116
2015-02-25,110
2015-02-26,117
2015-02-27,89
2015-02-28,90
2015-03-01,94
2015-03-02,95
2015-03-03,106
2015-03-04,134
2015-03-05,197
2015-03-06,91
2015-03-07,101
2015-03-07,136
2015-03-08,50
2015-03-09,51
2015-03-10,172
2015-03-11,138
2015-03-12,219
2015-03-13,228
2015-03-14,199
2015-03-15,219
2015-03-16,220
2015-03-17,270
2015-03-18,221
2015-03-19,195
2015-03-20,278
2015-03-21,233
2015-03-22,260
2015-03-23,223
2015-03-24,261
2015-03-25,180
2015-03-26,153
2015-03-27,120
2015-03-28,185
2015-03-29,193
2015-03-30,224
2015-03-31,123
2015-04-01,97
2015-04-02,265
2015-04-03,228
2015-04-04,190
2015-04-05,152
2015-04-06,96
2015-04-07,221
2015-04-08,170
2015-04-09,218
2015-04-10,194
2015-04-11,219
2015-04-12,176
2015-04-13,164
2015-04-14,204
2015-04-15,35
2015-04-16,46
2015-04-17,148
2015-04-18,219
2015-04-19,157
2015-04-20,248
2015-04-21,281
2015-04-22,222
2015-04-23,132
2015-04-24,66
2015-04-25,64
2015-04-26,67
2015-04-27,71
2015-04-28,41
2015-04-29,76
2015-04-30,32
2015-05-01,25
2015-05-02,41
2015-05-03,46
2015-05-04,47
2015-05-05,44
2015-05-06,37
2015-05-07,3
2015-05-08,21
2015-05-09,10
2015-05-10,24
2015-05-11,26
2015-05-12,51
2015-05-13,48
2015-05-14,50
2015-05-15,89
2015-05-16,53
2015-05-17,43
2015-05-18,41
2015-05-19,73
2015-05-20,66
2015-05-21,68
2015-05-22,61
2015-05-23,42
2015-05-24,56
2015-05-25,59
2015-05-26,68
2015-05-27,79
2015-05-28,69
2015-05-29,86
2015-05-30,83
2015-05-31,77
2015-06-01,46
2015-06-02,89
2015-06-03,66
2015-06-04,68
2015-06-05,49
2015-06-06,313
2015-06-07,35
2015-06-08,60
2015-06-09,28
2015-06-10,33
2015-06-11,44
2015-06-12,38
2015-06-13,38
2015-06-14,51
2015-06-15,48
2015-06-16,40
2015-06-17,52
2015-06-18,60
2015-06-19,34
2015-06-20,55
2015-06-21,22
2015-06-22,22
2015-06-23,52
2015-06-24,35
2015-06-25,88
2015-06-26,42
2015-06-27,40
2015-06-28,62
2015-06-29,80
2015-06-30,111
2015-07-01,71
2015-07-02,77
2015-07-03,60
2015-07-04,78
2015-07-05,109
2015-07-06,141
2015-07-07,124
2015-07-08,113
2015-07-09,93
2015-07-10,144
2015-07-11,83
2015-07-12,142
2015-07-13,115
2015-07-14,113
2015-07-15,101
2015-07-16,110
2015-07-17,87
2015-07-18,92
2015-07-19,59
2015-07-20,78
2015-07-21,124
2015-07-22,110
2015-07-23,93
2015-07-24,96
2015-07-25,67
2015-07-26,78
2015-07-27,110
2015-07-28,109
2015-07-29,92
2015-07-30,102
2015-07-31,58
2015-08-01,105
2015-08-02,58
2015-08-03,75
2015-08-04,102
2015-08-05,88
2015-08-06,78
2015-08-07,84
2015-08-08,62
2015-08-09,70
2015-08-10,54
2015-08-11,54
2015-08-12,61
2015-08-13,77
2015-08-14,38
2015-08-15,-14
2015-08-16,-201
2015-08-17,-132
2015-08-18,32
2015-08-19,63
2015-08-20,31
2015-08-21,45
2015-08-22,39
2015-08-23,35
2015-08-24,90
2015-08-25,60
2015-08-26,6
2015-08-27,51
2015-08-28,24
2015-08-29,35
2015-08-30,27
2015-08-31,46
2015-09-01,52
2015-09-02,8
2015-09-03,8
2015-09-04,10
2015-09-05,27
2015-09-06,45
2015-09-07,-198
2015-09-08,-67
2015-09-09,72
2015-09-10,38
2015-09-11,34
2015-09-12,36
2015-09-13,53
2015-09-14,34
2015-09-15,31
2015-09-16,46
2015-09-17,69
2015-09-18,64
2015-09-19,45
2015-09-20,28
2015-09-21,63
2015-09-22,45
2015-09-23,48
2015-09-24,52
2015-09-25,49
2015-09-26,20
2015-09-27,31
2015-09-28,29
2015-09-29,32
2015-09-30,23
2015-10-01,16
2015-10-02,28
2015-10-03,35
2015-10-04,33
2015-10-05,25
2015-10-06,49
2015-10-07,63
2015-10-08,52
2015-10-09,55
2015-10-10,36
2015-10-11,31
2015-10-12,49
2015-10-13,38
2015-10-14,44
2015-10-15,58
2015-10-16,44
2015-10-17,39
2015-10-18,42
2015-10-19,59
2015-10-20,54
2015-10-21,30
2015-10-22,53
2015-10-23,32
2015-10-24,39
2015-10-25,63
2015-10-26,63
2015-10-27,70
2015-10-28,69
2015-10-29,94
2015-10-30,71
2015-10-31,57
2015-11-01,107
2015-11-02,79
2015-11-03,260
2015-11-04,333
2015-11-05,184
2015-11-06,43
2015-11-07,-197
2015-11-08,-53
2015-11-09,63
2015-11-10,43
2015-11-11,63
2015-11-12,67
2015-11-13,52
2015-11-14,40
2015-11-15,53
2015-11-16,43
2015-11-17,57
2015-11-18,60
2015-11-19,28
2015-11-20,66
2015-11-21,63
2015-11-22,55
2015-11-23,60
2015-11-24,46
2015-11-25,28
2015-11-26,47
2015-11-27,54
2015-11-28,31
2015-11-29,46
2015-11-30,27
2015-12-01,72
2015-12-02,60
2015-12-03,61
2015-12-04,47
2015-12-05,59
2015-12-06,55
2015-12-07,26
2015-12-08,233
2015-12-09,179
2015-12-10,129
2015-12-11,45
2015-12-12,79
2015-12-13,54
2015-12-14,68
2015-12-15,-369
2015-12-16,-293
2015-12-17,-337
2015-12-18,-246
2015-12-19,-287
2015-12-20,-253
2015-12-21,-287
2015-12-22,-304
2015-12-23,-218
2015-12-24,-351
2015-12-25,-542
2015-12-26,-352
2015-12-27,-463
2015-12-28,-580
2015-12-29,-450
2015-12-30,-317
2015-12-31,-229
2016-01-01,-213
2016-01-02,-175
2016-01-03,-196
2016-01-04,-150
2016-01-05,-90
2016-01-06,58
2016-01-07,86
2016-01-08,66
2016-01-09,63
2016-01-10,41
2016-01-11,55
2016-01-12,61
2016-01-13,22
2016-01-14,55
2016-01-15,80
2016-01-16,76
2016-01-17,47
2016-01-18,9
2016-01-19,42
2016-01-20,25
2016-01-21,88
2016-01-22,44
2016-01-23,22
2016-01-24,-14
2016-01-25,12
2016-01-26,29
2016-01-27,23
2016-01-28,51
2016-01-29,55
2016-01-30,43
2016-01-31,16
2016-02-01,13
2016-02-02,34
2016-02-03,45
2016-02-04,17
2016-02-05,24
2016-02-06,11
2016-02-07,40
2016-02-08,57
2016-02-09,49
2016-02-10,66
2016-02-11,73
2016-02-12,40
2016-02-13,30
2016-02-14,41
2016-02-15,43
2016-02-16,16
2016-02-17,85
2016-02-18,73
2016-02-19,61
2016-02-20,54
2016-02-21,30
2016-02-22,9
2016-02-23,45
2016-02-24,53
2016-02-25,58
2016-02-26,68
2016-02-27,14
2016-02-28,24
2016-02-29,54
2016-03-01,26
2016-03-02,52
2016-03-03,23
2016-03-04,31
2016-03-05,-12
2016-03-06,29
2016-03-07,-18
2016-03-08,36
2016-03-09,-1
2016-03-10,38
2016-03-11,1
2016-03-12,-3
2016-03-12,17
2016-03-13,18
2016-03-14,18
2016-03-15,25
2016-03-16,14
2016-03-17,42
2016-03-18,37
2016-03-19,3
2016-03-20,13
2016-03-21,127
2016-03-22,22
2016-03-23,34
2016-03-24,8
2016-03-25,13
2016-03-26,19
2016-03-27,30
2016-03-28,47
2016-03-29,41
2016-03-30,23
2016-03-31,36
2016-04-01,104
2016-04-02,7
2016-04-03,28
2016-04-04,52
2016-04-05,42
2016-04-06,28
2016-04-07,79
2016-04-08,35
2016-04-09,34
2016-04-10,87
2016-04-11,46
2016-04-12,48
2016-04-13,42
2016-04-14,53
2016-04-15,33
2016-04-16,31
2016-04-17,42
2016-04-18,36
2016-04-19,42
2016-04-20,66
2016-04-21,46
2016-04-22,31
2016-04-23,56
2016-04-24,54
2016-04-25,72
2016-04-26,80
2016-04-27,64
2016-04-28,49
2016-04-29,58
2016-04-30,38
2016-05-01,52
2016-05-02,519
2016-05-03,187
2016-05-04,220
2016-05-05,153
2016-05-06,97
2016-05-07,69
2016-05-08,100
2016-05-09,71
2016-05-10,41
2016-05-11,77
2016-05-12,38
2016-05-13,50
2016-05-14,59
2016-05-15,34
2016-05-16,53
2016-05-17,33
2016-05-18,47
2016-05-19,102
2016-05-20,51
2016-05-21,47
2016-05-22,58
2016-05-23,53
2016-05-24,56
2016-05-25,37
2016-05-26,23
2016-05-27,70
2016-05-28,64
2016-05-29,91
2016-05-30,94
2016-05-31,105
2016-06-01,90
2016-06-02,65
2016-06-03,83
2016-06-04,87
2016-06-05,71
2016-06-06,53
2016-06-07,74
2016-06-08,70
2016-06-09,79
2016-06-10,66
2016-06-11,81
2016-06-12,222
2016-06-13,201
2016-06-14,154
